detailCategory,detailSource,partner,period,paymentId,txnType,speedFlag,processingMethod,payerFunding,payeeFunding,payerCcy,payeeCcy,payerCountry,payeeCountry,accountId,paymentType,submissionDate,creditCompleteDate,creditCompleteMonth,payerEmail,payerBusinessName,payeeEmail,payeeBusinessName,creditRail,transactionProcessingMethodRaw,fundingMethodUsed,payeeAmountCurrency,payeeAmount,usdAmountDebited,paymentUsdEquivalentAmount,estRevenue,txnTypeRaw,isRTP,isFasterAch,partnerGroupSource,initiatorStatus,typeDefn
transaction,offline_billing,Maplewave,2026-05,7353248,USD Abroad,Standard,Wire,Wallet,Bank,USD,USD,CA,HK,1781972,payment,2026-04-28,2026-05-01,2026-05,support@maplewave.money,"Maplewave Payments, Inc.",hkvrglobaltechnology-usd@maplewave.bene,HK V.R Global Technology Co. Limited,CITI,Wire,Bank,USD,10000,10000,10000,0,USD Abroad,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-05,7352158,FX,Standard,Wire,Wallet,Bank,USD,JPY,CA,JP,1781972,payment,2026-04-28,2026-05-01,2026-05,support@maplewave.money,"Maplewave Payments, Inc.",autocomjapaninc-yen@maplewave.bene,Autocom Japan Inc. - Yen,CITI,Wire,Bank,JPY,906000,5677.16,5671.56,0,FX,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-05,7366981,USD Abroad,Standard,Wire,Wallet,Bank,USD,USD,CA,CN,1781972,payment,2026-04-30,2026-05-03,2026-05,support@maplewave.money,"Maplewave Payments, Inc.",nantongborisbang-usd@maplewave.bene,Nantong Borisbang Industrial Technology Co. LTD,CITI,Wire,Bank,USD,36985,36985,36985,0,USD Abroad,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-05,7352167,FX,Standard,Wire,Wallet,Bank,USD,JPY,CA,JP,1781972,payment,2026-04-28,2026-05-01,2026-05,support@maplewave.money,"Maplewave Payments, Inc.",autocomjapaninc-yen@maplewave.bene,Autocom Japan Inc. - Yen,CITI,Wallet,Bank,JPY,2234000,13998.65,13984.84,0,FX,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-05,7354560,USD Abroad,Standard,Wire,Wallet,Bank,USD,USD,CA,HK,1781972,payment,2026-04-28,2026-05-01,2026-05,support@maplewave.money,"Maplewave Payments, Inc.",sinohubinternational-usd@maplewave.bene,SINO HUB INTERNATIONAL TRADING COMPANY LIMITED,CITI,Wire,Bank,USD,183000,183000,183000,0,USD Abroad,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-05,7370158,USD Abroad,Standard,Wire,Wallet,Bank,USD,USD,CA,CN,1781972,payment,2026-04-30,2026-05-03,2026-05,support@maplewave.money,"Maplewave Payments, Inc.",wtronelectronics-usd@maplewave.bene,Wtron Electronics Technology (HK) CO. Ltd.,CITI,Wallet,Bank,USD,3653.24,3653.24,3653.24,0,USD Abroad,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-05,7352156,FX,Standard,Wire,Wallet,Bank,USD,JPY,CA,JP,1781972,payment,2026-04-28,2026-05-01,2026-05,support@maplewave.money,"Maplewave Payments, Inc.",autocomjapaninc-yen@maplewave.bene,Autocom Japan Inc. - Yen,CITI,Wire,Bank,JPY,1458500,9139.23,9130.21,0,FX,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-05,7352171,FX,Standard,Wire,Wallet,Bank,USD,JPY,CA,JP,1781972,payment,2026-04-28,2026-05-01,2026-05,support@maplewave.money,"Maplewave Payments, Inc.",autocomjapaninc-yen@maplewave.bene,Autocom Japan Inc. - Yen,CITI,Wire,Bank,JPY,221000,1384.83,1383.46,0,FX,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-05,7352154,FX,Standard,Wire,Wallet,Bank,USD,JPY,CA,JP,1781972,payment,2026-04-28,2026-05-01,2026-05,support@maplewave.money,"Maplewave Payments, Inc.",autocomjapaninc-yen@maplewave.bene,Autocom Japan Inc. - Yen,CITI,Wire,Bank,JPY,1055000,6610.82,6604.3,0,FX,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-05,7353247,FX,Standard,Wire,Wallet,Bank,USD,SGD,CA,SG,1781972,payment,2026-04-28,2026-05-01,2026-05,support@maplewave.money,"Maplewave Payments, Inc.",singaporeinternational-sgd@maplewave.bene,Singapore International Arbitration Centre,CITI,IACH,Bank,SGD,529208.22,414542.78,414544.67,0,FX,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-05,7352157,FX,Standard,Wire,Wallet,Bank,USD,JPY,CA,JP,1781972,payment,2026-04-28,2026-05-01,2026-05,support@maplewave.money,"Maplewave Payments, Inc.",autocomjapaninc-yen@maplewave.bene,Autocom Japan Inc. - Yen,CITI,Wallet,Bank,JPY,62230000,389944.47,389559.8,0,FX,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-05,7370159,USD Abroad,Standard,Wire,Wallet,Bank,USD,USD,CA,CN,1781972,payment,2026-04-30,2026-05-04,2026-05,support@maplewave.money,"Maplewave Payments, Inc.",hefeimeyeoptoelectronic-usd@maplewave.bene,Hefei Meyer Optoelectronic Technology INC.,CITI,Wire,Bank,USD,23000,23000,23000,0,USD Abroad,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-05,7366979,USD Abroad,Standard,Wire,Wallet,Bank,USD,USD,CA,HK,1781972,payment,2026-04-30,2026-05-03,2026-05,support@maplewave.money,"Maplewave Payments, Inc.",hongkonghanzesupply-usd@maplewave.bene,HONGKONG HANZE SUPPLY CHAIN CO. LIMITED,CITI,Wallet,Bank,USD,15000,15000,15000,0,USD Abroad,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-05,7361778,FX,Standard,Wire,Wallet,Bank,USD,JPY,CA,JP,1781972,payment,2026-04-29,2026-05-02,2026-05,support@maplewave.money,"Maplewave Payments, Inc.",adngroupstock-jpy@maplewave.bene,ADN Group Stock Co.,CITI,Wire,Bank,JPY,2720000,16956.56,16945.6,0,FX,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-05,7352169,FX,Standard,Wire,Wallet,Bank,USD,JPY,CA,JP,1781972,payment,2026-04-28,2026-05-01,2026-05,support@maplewave.money,"Maplewave Payments, Inc.",autocomjapaninc-yen@maplewave.bene,Autocom Japan Inc. - Yen,CITI,Wallet,Bank,JPY,1066000,6679.75,6673.16,0,FX,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-05,7370156,USD Abroad,Standard,Wire,Wallet,Bank,USD,USD,CA,CN,1781972,payment,2026-04-30,2026-05-04,2026-05,support@maplewave.money,"Maplewave Payments, Inc.",suzhouashclean-usd@maplewave.bene,Suzhou Ash-Clean Intelligent Technology Co. Ltd.,CITI,Wire,Bank,USD,36920,36920,36920,0,USD Abroad,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-05,7366977,USD Abroad,Standard,Wire,Wallet,Bank,USD,USD,CA,CN,1781972,payment,2026-04-30,2026-05-03,2026-05,support@maplewave.money,"Maplewave Payments, Inc.",yiwuruilincosmetics-usd@maplewave.bene,YIWU RUILIN COSMETICS CO. LTD,CITI,Wire,Bank,USD,576,576,576,0,USD Abroad,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-05,7352161,FX,Standard,Wire,Wallet,Bank,USD,JPY,CA,JP,1781972,payment,2026-04-28,2026-05-01,2026-05,support@maplewave.money,"Maplewave Payments, Inc.",autocomjapaninc-yen@maplewave.bene,Autocom Japan Inc. - Yen,CITI,Wire,Bank,JPY,2325000,14568.87,14554.5,0,FX,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-05,7352153,FX,Standard,Wire,Wallet,Bank,USD,JPY,CA,JP,1781972,payment,2026-04-28,2026-05-01,2026-05,support@maplewave.money,"Maplewave Payments, Inc.",autocomjapaninc-yen@maplewave.bene,Autocom Japan Inc. - Yen,CITI,Wire,Bank,JPY,1127000,7061.99,7055.02,0,FX,false,false,Maplewave,,
